Time (hours),C-mol-Biomass,mol-Glucose,mol-Serine
2.00,0.000434779,0.008179784,0
3.50,0.000447258,0.008124946,0
5.00,0.001387698,0.007689912,0
6.50,0.002454927,0.007266546,0
8.00,0.002981806,0.006301904,0.000361937
9.50,0.0036309,0.005894367,0.000532544
11.00,0.003969959,0.005583412,
12.50,0.004569709,0.004969865,0.001364849
14.00,0.005209819,0.0042424,
16.00,0.005963423,0.003344456,0.002763289
18.00,0.007178972,0.002305276,
20.00,0.007666596,0.001025496,0.003986716
23.00,0.010221135,2.28911E-05,0.005564221