,Time (min),Date,Bioreactor 8 - CER,Bioreactor 8 - Off-gas CO2%,Bioreactor 8 - OUR,Bioreactor 8 - RQ,Bioreactor 8 - Volume
0,0.0,2018-07-30,,,,,105.410901666667
1,30.0,2018-07-30,,,,,200.0
2,60.0,2018-07-30,,0.0150428860177577,,,200.0
3,90.0,2018-07-30,,0.0150068307833167,,,200.0
4,120.0,2018-07-30,,0.014950821796908001,,,200.0
5,150.0,2018-07-30,,0.0143298256238835,,,200.0
6,180.0,2018-07-30,,0.0140129356999848,,,200.0
7,210.0,2018-07-30,,0.0140000004321337,,,200.0
8,240.0,2018-07-30,,0.0140000004321337,,,200.0
9,270.0,2018-07-30,,0.0140000004321337,,,200.0
10,300.0,2018-07-30,,0.0140000004321337,,,200.0
11,330.0,2018-07-30,,0.0140000004321337,,,200.0
12,360.0,2018-07-30,,0.0139929197642509,,,200.0
13,390.0,2018-07-30,,0.0140000004321337,,,200.0
14,420.0,2018-07-30,,0.0139929110975828,,,200.0
15,450.0,2018-07-30,,0.0139927724308934,,,200.0
16,480.0,2018-07-30,,0.0139857957630276,,,200.0
17,510.0,2018-07-30,,0.0140000004321337,,,200.0
18,540.0,2018-07-30,,0.0140000004321337,,,200.0
19,570.0,2018-07-31,,0.0140000004321337,,,200.0
20,600.0,2018-07-31,,0.00750570612776532,,,199.995933284003
21,630.0,2018-07-31,,0.0,,,199.980791849919
22,660.0,2018-07-31,,0.0,,,199.965024450975
23,690.0,2018-07-31,,0.0,,,200.182767745993
24,720.0,2018-07-31,,0.0,,,200.20765188889598
25,750.0,2018-07-31,,0.0,,,200.19187536959203
26,780.0,2018-07-31,,0.0,,,200.176097009337
27,810.0,2018-07-31,,0.0,,,200.16031867784199
28,840.0,2018-07-31,,0.0,,,200.144543104642
29,870.0,2018-07-31,,0.0,,,200.128766713312
30,900.0,2018-07-31,,0.0,,,200.11299330521598
31,930.0,2018-07-31,,0.0,,,200.097218299069
32,960.0,2018-07-31,,0.0,,,200.08143973363
33,990.0,2018-07-31,,0.0,,,200.065661526757
34,1020.0,2018-07-31,,0.0,,,200.049885067697
35,1050.0,2018-07-31,,0.0,,,200.034111246292
36,1080.0,2018-07-31,,0.0,,,200.018334217817
37,1110.0,2018-07-31,,0.0,,,200.00255421708
38,1140.0,2018-07-31,,0.0,,,199.986777202477
39,1170.0,2018-07-31,,0.0,,,199.971000402056
40,1200.0,2018-07-31,,0.0,,,199.95522470430302
41,1230.0,2018-07-31,,0.0,,,199.93944286989898
42,1260.0,2018-07-31,,0.0,,,199.923658640638
43,1290.0,2018-07-31,,0.0,,,199.907875659398
44,1320.0,2018-07-31,,0.0,,,199.892095791518
45,1350.0,2018-07-31,,0.0,,,199.87631901637403
46,1380.0,2018-07-31,,0.0,,,199.860537166751
47,1410.0,2018-07-31,,0.0,,,199.844756588086
48,1440.0,2018-07-31,,0.0,,,199.82897362268298
49,1470.0,2018-07-31,,0.0,,,199.813187191562
50,1500.0,2018-07-31,,0.0,,,199.79740667429402
51,1530.0,2018-07-31,,0.0,,,199.781625814611
52,1560.0,2018-07-31,,0.0,,,199.76584258710702
53,1590.0,2018-07-31,,0.0,,,199.750058880248
54,1620.0,2018-07-31,,0.0,,,199.734276695064
55,1650.0,2018-07-31,,0.0,,,199.718495900989
56,1680.0,2018-07-31,,0.0,,,199.70271118549198
57,1710.0,2018-07-31,,0.0,,,199.686928450913
58,1740.0,2018-07-31,,0.0,,,199.67114575322498
59,1770.0,2018-07-31,,0.0,,,199.655365252721
60,1800.0,2018-07-31,,0.0,,,199.63958257779203
61,1830.0,2018-07-31,,0.0,,,199.62380296497898
62,1860.0,2018-07-31,,0.0,,,199.60801882995202
63,1890.0,2018-07-31,,0.0,,,199.592237343508
64,1920.0,2018-07-31,,0.0,,,199.576460035668
65,1950.0,2018-07-31,,0.0,,,199.56068209005002
66,1980.0,2018-07-31,,0.0,,,199.544903862355
67,2010.0,2018-08-01,,0.0,,,199.529116184581
68,2040.0,2018-08-01,,0.0,,,199.51333242092701
69,2070.0,2018-08-01,,0.0,,,199.497554426401
70,2100.0,2018-08-01,,0.0,,,199.481776089581
71,2130.0,2018-08-01,,0.0,,,199.46599602061002
72,2160.0,2018-08-01,,0.0,,,199.450215094906
73,2190.0,2018-08-01,,0.0,,,199.43443788858798
74,2220.0,2018-08-01,,0.0,,,199.418657075369
75,2250.0,2018-08-01,,0.0,,,199.402878045907
76,2280.0,2018-08-01,,0.0,,,199.387098860461
77,2310.0,2018-08-01,,0.0,,,199.371317540461
78,2340.0,2018-08-01,,0.0,,,199.355537670318
79,2370.0,2018-08-01,,0.0,,,199.33975645195
80,2400.0,2018-08-01,,0.0,,,199.323978180462
81,2430.0,2018-08-01,,0.0,,,199.308202885725
82,2460.0,2018-08-01,,0.0,,,199.29242751810298
83,2490.0,2018-08-01,,0.0,,,199.276650148051
84,2520.0,2018-08-01,,0.0,,,199.26086762437902
85,2550.0,2018-08-01,,0.0,,,199.245085539482
86,2580.0,2018-08-01,0.0,0.0,,,200.110882956794
87,2610.0,2018-08-01,0.0180357186447487,0.0041024361828446605,,,202.71119550722
88,2640.0,2018-08-01,0.0,0.0100033911161457,,,202.930521550717
89,2670.0,2018-08-01,0.121110060859965,0.01295955289195,5.05167736455421,0.25478306990226296,202.929047398303
90,2700.0,2018-08-01,0.0252109504701506,0.000925493482878143,,,202.411814988456
91,2730.0,2018-08-01,0.012373487342926,0.000454451422918616,,,201.082096425734
92,2760.0,2018-08-01,0.0272243370505485,0.00100000004749745,,,201.018890000065
93,2790.0,2018-08-01,0.0104936773359645,0.0010744646694697,,,200.64692932794202
94,2820.0,2018-08-01,0.0732922811950194,0.0107760450920323,,,199.20877522906602
95,2850.0,2018-08-01,0.145745025268581,0.0214207174991884,,,199.19250322992
96,2880.0,2018-08-01,0.17018852735885098,0.0248299174234674,,,198.954295632938
97,2910.0,2018-08-01,0.18143086556907698,0.0266302729382284,,,197.419499148889
98,2940.0,2018-08-01,0.19308223946109898,0.0283828613551266,,,197.402904707747
99,2970.0,2018-08-01,0.209674159747444,0.0308181067889944,,,197.34619707891002
100,3000.0,2018-08-01,0.23572237512446803,0.0342905329644223,,,195.62953977503997
101,3030.0,2018-08-01,0.271027399835034,0.0398420861688673,,,195.61265118398498
102,3060.0,2018-08-01,0.33216932452332204,0.0488353511070213,,,195.595577745748
103,3090.0,2018-08-01,0.43694341915951795,0.0642723390561244,,,195.57815512996999
104,3120.0,2018-08-01,0.585802012963,0.0854028194511464,1.06933156039326,0.5970501896430711,193.86567263017503
105,3150.0,2018-08-01,0.8558421363550981,0.125844138204353,1.3135137527351002,0.650361333662754,193.804837325742
106,3180.0,2018-08-01,1.2725852931472499,0.18708073025213398,1.7571134415981902,0.722444477898824,193.789339621541
107,3210.0,2018-08-01,1.8367764960911799,0.270140530018586,2.37106439071844,0.7736757547621741,193.80805774200198
108,3240.0,2018-08-01,2.67109962995521,0.39263375022693897,3.1904831060957597,0.8355339900889341,193.82061784765
109,3270.0,2018-08-01,3.54270672959154,0.516529411566791,4.14957253407308,0.8557980056240458,192.235098539213
110,3300.0,2018-08-01,4.74318431006805,0.6977070999272991,5.5360424941202995,0.8568194080129209,192.122626644003
111,3330.0,2018-08-01,5.55033686988376,0.816519476122951,6.3998243358788205,0.8688301201775609,192.163159353058
112,3360.0,2018-08-01,6.61844709045329,0.9743972607450591,7.86268967532958,0.8418708904769849,192.213714446138
113,3390.0,2018-08-01,8.17107611500988,1.2030601403398602,9.71412054635755,0.841016101616982,192.283719259364
114,3420.0,2018-08-01,9.55208037276023,1.3844724173723,11.2555760352585,0.8448952708909421,190.874727842869
115,3450.0,2018-08-02,11.3890786951827,1.67913783707509,13.513719897534099,0.8427986249107858,190.82405370414298
116,3480.0,2018-08-02,13.370571302263501,1.9700051455570098,15.189638525045801,0.8798495323308609,191.028756111264
117,3510.0,2018-08-02,15.4801383839757,2.2808979275623398,17.308129918418697,0.89437663571614,191.21991047344298
118,3540.0,2018-08-02,17.740449361649002,2.61384214770674,19.6723155089246,0.9016696258337259,191.432853859883
119,3570.0,2018-08-02,20.5539262847718,2.9920534575406403,22.497080416522003,0.913859818886631,190.276509009846
120,3600.0,2018-08-02,24.5461828379634,3.6168804711695897,26.4043336471279,0.929399429249174,190.24618439358503
121,3630.0,2018-08-02,29.1981364856563,4.30184977599059,31.0776396736267,0.9393999027035791,190.599920285648
122,3660.0,2018-08-02,34.9760460651299,5.15127547933767,36.797831457746604,0.9504126306052599,191.00003527982798
123,3690.0,2018-08-02,41.8256576630861,6.16012599298113,43.3974493972898,0.9637330492416771,191.492774664849
124,3720.0,2018-08-02,49.66657725403629,6.39918118519655,49.2877325712283,1.0094180439742801,190.62951521517
125,3750.0,2018-08-02,39.1695602346756,5.63344685648458,41.4391713990545,0.944953031355759,190.575887055443
126,3780.0,2018-08-02,39.7474793291495,5.85752525130577,41.688287413049395,0.9534437492129659,190.92745050531897
127,3810.0,2018-08-02,40.4732931649804,5.95840844077713,41.442303688334,0.9766339280436508,191.24695616525102
128,3840.0,2018-08-02,17.198704419618302,2.51318711747927,14.6379243199457,1.15226971666804,191.369703760184
129,3870.0,2018-08-02,6.7316344105623696,0.972640643505897,7.6725976341903195,0.875016883241726,190.10957799075902
130,3900.0,2018-08-02,5.91160431527717,0.86967952575975,6.8044061710845805,0.877980613085524,189.58219254718898
131,3930.0,2018-08-02,4.54099761780236,0.667441342168484,4.776884423328389,0.950181665016322,189.561522570015
132,3960.0,2018-08-02,3.76355249072527,0.5532539919558679,3.96686782521935,0.9491602733764841,189.54156304494998
133,3990.0,2018-08-02,2.98209637178164,0.43824968245132,3.1265758375921,0.9531143093109129,189.522241975948
134,4020.0,2018-08-02,2.48191957345751,0.35809856375703797,2.7450368970208596,0.901288475373467,188.352316052761
135,4050.0,2018-08-02,2.1967716011603997,0.32296969546232895,2.5319734764149104,0.8674850140558091,187.746327453313
136,4080.0,2018-08-02,2.01988403901759,0.29695080146951697,2.3749427109488903,0.850492193295463,187.729154339422
137,4110.0,2018-08-02,1.9099659408446499,0.280752118191271,2.2658161395717,0.8429718863337529,187.712162867974
138,4140.0,2018-08-02,1.8390910902388702,0.270295600828487,2.22883857309388,0.8252277127372428,187.69535164935903
139,4170.0,2018-08-02,1.7912418462589699,0.263413344015008,2.2207701756608103,0.8066188003405731,187.67872130019902
140,4200.0,2018-08-02,1.76600653039408,0.259618643581633,2.19485534231832,0.804754904957207,187.66221088610598
141,4230.0,2018-08-02,1.73670832584571,0.255293177514131,2.09497128487082,0.8299671100230391,187.64559981445498
142,4260.0,2018-08-02,1.69857804989804,0.24969975021975,2.14955411984967,0.790260697519319,187.629041624248
143,4290.0,2018-08-02,1.66616537861191,0.24500035477912502,2.20679600407698,0.755072622842935,187.61284798248101
144,4320.0,2018-08-02,1.6387938638118003,0.240985441936233,2.2157362416299797,0.739641709885762,187.59689219947103
145,4350.0,2018-08-02,1.6144881614128401,0.23748976170825303,2.22561808920649,0.7254627941646411,187.58107419444198
146,4380.0,2018-08-02,1.59846484356879,0.235069629143622,2.2508654726022597,0.7101898992296409,187.565418408465
147,4410.0,2018-08-02,1.58486371396882,0.233007641512542,2.25954585739772,0.7014409236548389,187.549855413182
148,4440.0,2018-08-02,1.5719952507296397,0.23114329866497402,2.2653842941538103,0.6939475445637299,187.534385722732
149,4470.0,2018-08-02,1.55615363776175,0.22892081241735399,2.27645924428456,0.683629534482269,187.519002025004
150,4500.0,2018-08-02,1.54015284605489,0.226583730800507,2.2627877346355696,0.680684843610506,187.503712038493
151,4530.0,2018-08-02,1.53644345354911,0.225939687010522,2.2461310138161097,0.6840879683281539,187.488379602816
152,4560.0,2018-08-02,1.54678559107961,0.22751458163548202,2.2536998309459104,0.686393899946841,187.47305273490898
153,4590.0,2018-08-02,1.54486027067852,0.227251055465224,2.24215578243573,0.689029563558599,187.457662317658
154,4620.0,2018-08-02,1.54650858690338,0.22751524229391298,2.24499905831396,0.688897399190896,187.442289423167
155,4650.0,2018-08-02,1.5459263356739301,0.227399837481465,2.22996823670665,0.693284152994968,187.42689035292
156,4680.0,2018-08-02,1.54009143176983,0.22651509539534603,2.23782250891214,0.688239734427771,187.411488611309
157,4710.0,2018-08-02,1.53257323333942,0.22539712077231103,2.2139059425065097,0.6922793812669908,187.396091213993
158,4740.0,2018-08-02,1.52702456405635,0.22458584061098397,2.18465678596861,0.6990223073261629,187.38063577947202
159,4770.0,2018-08-02,1.51564435860946,0.222863459725868,2.18175304954622,0.6947240448414029,187.36515671623002
160,4800.0,2018-08-02,1.50616055694046,0.22162542211278,2.1373194553888704,0.704725546153192,187.349659927748
161,4830.0,2018-08-02,1.5032320285141298,0.221122876459447,2.15474212744381,0.697716950308479,187.334144562593
162,4860.0,2018-08-02,1.4998983334660398,0.220575217860453,2.1532679645678003,0.69659413984115,187.318664195448
163,4890.0,2018-08-03,1.4976590573708999,0.220283581049268,2.13643016065524,0.701037614528453,187.30317413662
164,4920.0,2018-08-03,1.5023430593897,0.22090168791711698,2.14240574883566,0.701281825551714,187.28767131268998
165,4950.0,2018-08-03,1.5090089156367001,0.22187693305811604,2.1257879158006903,0.709892109501525,187.272092465317
166,4980.0,2018-08-03,1.51944052939827,0.22344267923709601,2.13928385351435,0.710288881377514,187.25649723659
167,5010.0,2018-08-03,1.5340837001273702,0.22564930193814603,2.15335658207809,0.712441053184662,187.240882646668
168,5040.0,2018-08-03,1.54894136308868,0.22772251881090197,2.16800178776806,0.714486257823547,187.22524759507
169,5070.0,2018-08-03,1.56037022228252,0.22959231227581098,2.19068271967282,0.7123668006212,187.20961508012502
170,5100.0,2018-08-03,1.57482283167687,0.231583778704579,2.2135714456019597,0.711478267815332,187.19400341957902
171,5130.0,2018-08-03,1.58472434021622,0.23310961531376298,2.22845796651087,0.711160183146824,187.17840343276401
172,5160.0,2018-08-03,1.59487977265845,0.23458454650851604,2.24516984365459,0.7104215602731719,187.16281836526798
173,5190.0,2018-08-03,1.60251368556856,0.23562312889103698,2.2519599170984903,0.7116532230894721,187.14719643227002
174,5220.0,2018-08-03,1.6079170345406397,0.23639395102349103,2.24821019563363,0.715225125900271,187.131577843364
175,5250.0,2018-08-03,1.60994797514206,0.23678279696288396,2.2249532403598504,0.723626153235336,187.11589260051997
176,5280.0,2018-08-03,1.6099151528010702,0.23676734830801002,2.2211298971205897,0.7248444835763539,187.100147627189
177,5310.0,2018-08-03,1.6046296861713303,0.23596504670185503,2.2050412963464905,0.7278004296351859,187.08441430328998
178,5340.0,2018-08-03,1.5999421807308603,0.23529033243266198,2.19269676445167,0.7297145665134109,187.068618384424
179,5370.0,2018-08-03,1.59143858560658,0.23403524439326998,2.19199025287172,0.726088786120158,187.052863505238
180,5400.0,2018-08-03,1.5873092678193101,0.233446273586523,2.18159713645509,0.7276235242295691,187.037093825858
181,5430.0,2018-08-03,1.57687975543921,0.23191216483115804,2.18309334731868,0.7223538604397959,187.021355160115
182,5460.0,2018-08-03,1.56426607467758,0.23013709596174697,2.21797265742496,0.705307429620413,187.005716520474
