Time (hours);C-mol-Biomass;mol-Glucose;mol-Acetate;mol-Ethanol;mol-Serine
2,00;0,000553831;0,008247296;0;0,000182145;0
3,50;0,000717018;0,007877992;3,521E-05;0,000198853;0
5,00;0,001717484;0,007192482;0,000133494;0,000184061;0
6,50;0,002650645;0,006957467;0,000185485;0,000135633;0,000183464
8,00;0,003214291;0,00627956;0,000184718;0,000131677;0,000360008
9,50;0,003883311;0,005727587;0,000143494;0,000118315;0,000706176
11,00;0,004467489;0,005067913;0,000130011;0,000107125;
12,50;0,005314392;0,00467803;0,000129021;8,8123E-05;0,001187366
14,00;0,005880333;0,004131463;0,000149555;6,94216E-05;
16,00;0,007106993;0,003177671;0,000145403;5,53251E-05;0,001938599
18,00;0,008712835;0,002200468;0,000167446;0;
20,00;0,011325052;0,000901145;0,000183471;0;0,003503424
23,50;0,010865276;2,40088E-05;0,000172105;0;0,003894724
;;;;;